noxchi,russian
ц1андалар,1) очищение; 2) перен. оправдание.
ц1андала,"1) ц1андан; 2) очиститься, очищаться; мархех ц1анъелира стигал небо очистилось от туч; 3) перен. оправдаться."
ц1ака,нареч. на четвертый день (после сегодняшнего).
ц1аза-п1елг,мизинец.
ц1адоцург,бездомный; ц1адоцу цициг бездомная кошка.
ц1адоцу,бездомный; ц1адоцу цициг бездомная кошка.
цхьаьнаханъяккха,сожительствовать.
цхьаьнатохар,"соединение, объединение."
цхьаьнатоха,"соединить, объединить, слить воедино; теори практикца цхьаьнатоха соединить теорию с практикой; бер- риг ницкъаш цхьаьнатоха объединить все силы."
цхьаьнакхеттарг,"1. соединившийся, объединившийся; 2. соединенный, объединенный."
цхьаьнакхетаралла,объединение.
цхьаьнакхетар,"соединение, объединение."
цхьаьнакхета,"соединиться, соединяться, объединиться, объединяться; массо а мехкийн пролетареш, цхьаьнакхета! пролетарии всех стран, соединяйтесь!."
цхьаьнадеттар,"соединение, объединение."
цхьаьнадетта,"соединять, объединять, сливать воедино."
цхьаьнадахар,сосуществование.
цхьаьнадаха,сосуществовать.
цхьаьнаг1уллакхдар,сотрудничество.
цхьаьнаг1уллакхдан,"сотрудничать, работать вместе."
цхьаьна,"нареч. вместе, совместно; деца цхьана ваха совместно жить вместе с отцом."
цхьаццанхьа,нареч. кое-где; кое-куда.
цхьаццадолу,некоторый; цхьаццайолчу районашкахь в некоторых районах.
цхьаццадерг,некоторый; цхьаццайолчу районашкахь в некоторых районах.
цхьацца,"1) по (указывает на количество чего-л.), цхьацца б1е по сто; цхьацца эзар по тысяче; 2) по одному, поодиночке; цхьаццанга кхойкхуш вызывая по одному."
цхьанхьара-м,"нареч. откуда-нибудь, откуда-то."
цхьанхьа,"нареч. где-нибудь, в каком-либо месте."
цхьанххьара,а нареч. ниоткуда.
цхьанххьа,а нареч. нигде; никуда.
цхьанаюьртахо,"односельчанин, односельчанка."
цхьанаэшшарехь,"нареч. 1) однообразно, однозвучно; 2) равномерно, ритмично; 3) постоянно, неизменно."
цхьанахеннахь,нареч. одновременно.
цхьанахенархо,"ровесник, ровесница, однолеток."
цхьанананасдинарг,единоутробный.
цхьаназамманчохъ,нареч. одновременно.
цхьаназаманалла,одновременность.
цхьанаденадинарг,единокровный.
цхьанабертахь,"нареч. единогласно, единодушно."
цхьана,"нареч. однажды, как-то раз; цхьана дийнахь однажды днем; цхьана сарахь однажды вечером; <> цхьана а тайпана или цхьана а кепара или цхьана а востара никоим образом."
цхьалла,одиночество.
цхьалг1аниг,числ. первый.
цхьалг1а,числ. первый.
цхьалго-топ,одноствольное ружье.
цхьалго-некъ,одноколейная дорога.
цхьайтталг1аниг,числ. одиннадцатый.
цхьайтталг1а,числ. одиннадцатый.
цхьайттазлаг1.,цхьайттазлаг1ниг числ. одиннадцатый раз.
цхьайттазза,числ. одиннадцать раз; цхьайтт-цхьайттазза по одиннадцати раз.
цхьадолу,некоторый.
цхьадерг,некоторый.
цхьабартболуш,деепр. единогласно.
цхьабартболу,единогласный.
цхьабартберг,единогласный.
цхьаалла,единство.
цхьааздоду,однозвучный.
цхьааздерг,однозвучный.
цхьа,а частица ни; стиглахь цхьа а марх яц на небе ни облачка; кхин д1а цхьа а ког! ни шагу дальше!; <> цхьа а ца тоьлуш вничью.
цхьа,"числ. один, одна, одно; <> цхьа долчу декъана отчасти, в некоторой степени."
цуьндела,"нареч. поэтому, оттого, потому; зато; когаш башийра, цуьндела цомгуш а хилира промочил ноги, оттого и заболел."
цул,"сравнит, п. от и, иза; цул совнаха вдобавок, кроме этого; больше того; цул т1аьхьа после этого; цул хьалха раньше этого."
цуг1аш-цуг1аш,"возглас, которым подзывают овец."
цу,"2 косв. п. от и, иза; цу г1уллакхах х1умма а хир дац ничего с этим делом не выйдет; цу заманчохь в то время; цу сохьта тотчас; цу тайппана или цу кеппара таким образом; цу т1е притом, вместе с тем, к тому же, вдобавок; цут1ехь на этом; цу т1ехь концерт чекхйолу на этом концерт заканчивается."
цо,эрг. п. от ит иза.
цкъачунна,"нареч. пока, на первый раз, впредь до; цкъачунна х1умма а хууш дац пока ничего неизвестно."
цкъацца,нареч. иногда.
цкъа,"1. нареч. однажды, один раз; цкъа а или цкъана цкъа а никогда, ни разу; 2. союз то... то (при перечислении, при противопоставлении); цкъа цхьаъ, цкъа вож то один, то другой; цкъа ло дог1у, цкъа дог1а дог1у то снег идет. то дождь; <> цкъа-делахь во-первых; цкъа хьллха сперва, сначала."
ЦК,(Центральни Комитет) ЦК (Центральный Комитет).
межд. цып-цып.,ци-ци
межд. брысь!.,цист
цинцашдеттар,брызганье.
цинцаш,ед. цинц малоупотр брызги; цинц тоха брызнуть; цинцаш детта брызгать.
циггахь,"нареч. там же, в том же месте."
циггалц,нареч. до того места.
цигахь,"нареч. там, в том месте."
цига,"туда; цига а, кхуза а туда и сюда."
цецдовладала,цецдовла.
цецдийладала,цецдийла.
цецдийла,"удивляться, поражаться, изумляться."
цецдахадала,цецдаха.
цецдаха,"удивить, поразить, изумить объект во мн.; удивлять, поражать, изумлять."
цецдаладала,цецдала.
цецдала,"субъект в ед. удивиться, поразиться, изумиться."
цецдаккхадала,цецдаккха.
цестар,разрезание на части.
цестадала,цеста.
цергъялар,прорезывание зуба.
цергков,щербина (на месте выпавшего или удаленного зуба).
цергийн,аз лингв. зубной звук; 2)зубчатый; цергийн мскха зубчатая борона.
цергашйоцу,"йоцу, цергаш йоцург беззубый."
цергаш,"таян лечить зубы; цергаш ц1анъян чистить зубы; цергаш хьекхо а) скрежетать зубами; б) перен, точить зубы на кого-л.; церг яла а) прорезаться — о зубе; б) выпасть — о зубе; 2) зубец; херхан церг зубец пилы; чкъурган церг спица колеса; 3) перен. поколение; вайн цергара нах люди нашего поколения."
мест. их.,церан
цаьрга,"местн, п. от уьш."
цахууш,"деепр. 1) не зная; 2) нечаянно, случайно, непроизвольно."
цахилларг,"небывалый, цкъа а цахилла х1ума ду х1ара-м это небывалое событие."
цатоьарг,недостающий.
цатига,не осмелиться.
цатешарг,недоверчивый; недоверяющий.
цатешам,недоверие.
цатарлург,невозможный.
цатарлу,невозможный.
нареч. невозможно.,цатарло
цастар,1) разрезание; 2) ломоть.
цаста.,цасталала
цасацалург,неудержимый; цасацалу белар неудержимый смех.
цасацалу,неудержимый; цасацалу белар неудержимый смех.
эрг. п. от уьш.,цара
цанахьекхар,"косьба, кошение."
цамегарг,"непригодный, неподходящий."
цамгаръялар,заражение.
цамагор,1) запрещение; 2) неодобрение.
цамаго,"1) запретить, запрещать; 2) не одобрить, не одобрять."
цамагар,"1) недомогание; 2) непригодность, неприемлемость."
цамага,"1) нездоровиться; недомогать; сука цамега тахана мне сегодня нездоровится; 2) оказаться негодным, неприемлемым; х1ара мача суна цамега эта обувь мне не подходит."
цалууш,"деепр. нехотя, неохотно."
цалацалург,неуловимый.
цаларар,"неуважение, непочтительность; баккхийнаш цаларар неуважение к старшим."
цалаар,нежелание.
цакъасталург,"1) неразрывный, неотделимый; 2) неразрешимый; 3) неразличимый."
цакхуьург,1. 1) неуспевающий (что-л. сделать); 2) непонимающий; 2. непонятный.
цакхиар,неуспеваемость.
цакхетарг,"1. непонимающий, непонятливый; 2. непонятный, неясный."
цакхетам,непонимание.
цакхералуш,"деепр. неустрашимо, бесстрашно."
цакхералург,"неустрашимый, бесстрашный."
цакхайкхинарг,"непрошеный, незваный."
цадохалург,"1) нерушимый, несокрушимый; цадохалу доттаг1алла нерушимая дружба; 2) неразменный; цадохалу ахча неразменная монета; 3) нерасторжимый."
цадохалу,"1) нерушимый, несокрушимый; цадохалу доттаг1алла нерушимая дружба; 2) неразменный; цадохалу ахча неразменная монета; 3) нерасторжимый."
цадешар,"неученье; дешар — серло, цадешар — бода посл. ученье — свет, неученье — тьма."
цадекъалург,"неделимый, неразделимый."
цадеза,"не любить, относиться неприязненно."
цадевзарг,"незнакомый, неизвестный."
цадашар,пренебрежение.
цадаша,"пренебречь, пренебрегать."
цагуш,деепр. не видя.
цагург,1. невидящий; 2. невидимый.
цабезам,"отвращение, антипатия."
ца,"частица не; х1инцаа шерра деша ца 1емина цунна он еще не научился бегло читать; ца х1оттаа, не утомиться, не устать; б) не решиться, не решаться, не осмелиться, не осмеливаться; к1ант цомгуш хилар нене д1аала ца х1утту со я не решаюсь передать матери, что сын заболел; ца хоттуш без спросу; церг йоцуш борз ца хуьлу погов. волк не бывает без зубов."
хьуьн,промышленность лесопромышленность.
хьуьнзавод,лесозавод.
хьуьнарбухка,средняя подпруга седла.
хьуьлла,нареч. там.
хьунхьокхург,лесоруб.
хьунхьакхар,рубка леса.
хьунлелорхойн,лесоводческий.
хьунлелорхо,лесовод.
хьунлелор,лесоводство.
хьункечъярхо,лесозаготовщик.
хьункечъяр,лесозаготовки.
хьунйоцург,безлесный.
хьунйоцу,безлесный.
хьунйог1ар,лесонасаждение.
хьунбуцаре,лесостепь.
хьуна,мест. дат. п. от хьо тебе.
хьулдар,от хьулдан.
хьулдан,"1) скрыть, утаить; 2) погрузить (в жидкость, в сыпучее вещество); г1амарлахь когаш хьулбан погрузить ноги в песок."
хьулдала,"1) хьулдан; 2) скрыться; 3) погрузиться (в жидкость, в сыпучее вещество)."
хьошалла,дар угощение; оказание гостеприимства.
хьошалла,"гостеприимство; хьошалла дан угостить, угощать; принять гостя; оказать гостеприимство."
хьоналла,жирность.
хьомсаралла,уважение.
хьокъехь,"послелог о, относительно, по поводу; берийн хъокъехь г1айг1а бан заботиться о детях; цу хьокъехь по этому поводу; толаман хьокъехь керла хабар весть о победе."
хьожайог1ург,"ароматный, душистый; вонючий, зловонный; хъожайог1у саба душистое мыло; <> хьожайог1убуц бот. богородская трава."
хьожайог1у,"ароматный, душистый; вонючий, зловонный; хъожайог1у саба душистое мыло; <> хьожайог1убуц бот. богородская трава."
хьогах,"хила испытывать жажду, хотеть пить."
хьогалла,жажда; хьогалла яйа утолить жажду.
хьерадаха,"1) свести с ума, взбесить объект во мн.; сводить с ума; 2) перен. приводить в бешенство, доводить до крайнего раздражения."
хьерадалар,"1) сумасшествие, умопомешательстпо; бешенство; 2) перен. бешенство, неистовство, ярость."
хьерадала,"субъект в ед. 1) сойти с ума, потерять-рассудок; 2) перен. прийти и бешенство, в состояние крайнего раздраженна."
хьер,1 от хьен 1.
хьенех,"мест, 1) некто, некий, кто-то, такой-то; 2) уст. некто, кто-то (заменяет имя мужа или жены — по чеченскому пережиточному обычаю супруги друг друга по имени не называют)."
хьенан,"мест, чей, чья, чье; хьенан ду х1ара тетрадь? чья эта тетрадь?."
хьелиозархо,"доярка, доильщица; доир, доильщик."
хьелаш,ми. от хьал.
хьекъалдоцуш,"деепр. безумно, безрассудно."
хьекъалдоцург,"безумный, безрассудный."
хьекъалдоцу,"безумный, безрассудный."
хьекъалдолу,"умный, рассудительный."
хьекъалдерг,"умный, рассудительный."
хьекъалалла,мудрость.
хьекъадала,хьекъа.
хьекхар,"1) жатва; косьба; 2) пиление, пилка; 3) глаженье; 4) смазывание; 5) крашение; б) вытирание; 7) дуновение, веяние; 8) резание, резка; 9) рубка."
хьекхадала,хьекха.
хьежар,1) смотр; 2) ожидание; 3) обыск; 4) обследование.
хьежадала,хьежа.
хьедала,2 хьен 1.
хьедала,1 1) хьедан 1|2; 2) задержаться; новкъахь хьевелира иза он задержался в дороге; 3) погрузиться (в воду с головой).
хьег1адала,хьег1а.
хьегар,зависть.
хьегадала,хьега.
хьебоцург,безмозглый.
хьебоцу,безмозглый.
хьаьънарг,от хьаа.
хьаьъна,от хьаа.
хьаьшнарг,"к хьаша 1. задавивший, растоптавший; 2. задавленный, растоптанный."
хьаькамалла,руководство.
хьаьжк1ельхьара,нареч. исподлобья.
хьаьашлелорхо,кукурузовод.
хьаьашлелор,кукурузоводство.
хьаштдолу,"нужный, необходимый."
хьаштдерг,"нужный, необходимый."
хьашлаг1а,йилла держать пари.
хьашадала,хьаша.
хьацардаьлларг,"вспотевший, пропитанный потом."
хьацардалар,потение.
хьахар,2 штукатурка.
хьахар,1 1) утомление; 2) угар; 3) укачивание; 4) обречение; <> кема хьахар морская болезнь; лам хьахар горная болезнь.
хьахадала,хьаха 2.
хьастадала,1) хьаста; 2) приласкаться.
хьастаг1а,нареч. давно; хьастаг1ехь уже давно.
хьарчор,"завертывание, обмотка."
хьарчадала,хьарча.
хьарсар,посыпание.
хьарсадала,хьарса.
хьарамлер,"обман, мошенничество, плутовство, жульничество."
хьарамледала,хьарамлен.
хьар,от хьан.
хьандар,от хьандан 1) засаливание; 2) удобрение.
хьандан,1) сделать жирным; приправить жирами; чорпа т1айца хьанъян приправить суп сметаной; 2) засалить; 3) удобрить; латта кхеллица хьандан удобрить почву навозом.
хьандала,"засалиться, пропитаться жиром."
хьаналниг,си. хьанал 1.
хьаналла,"1) честность, добросовестность; 2) рел. безгрешность, чистота."
хьанал,"2 мест. сравнит, п. от мила."
хьалххе,нареч. рано; заранее; заблаговременно; б1аьсте хьалххе яьлла кхушара весна в этом году наступила рано.
хьалхелелорхо,передовик; юьртан бахаман хьалхелелорхой передовики сельского хозяйства.
хьалхелелорг,"1) передовой, головной; 2) ведущий, руководящий."
хьалха-яхна,хан грам. давнопрошедшее время.
хьалхаэккха,"забежать вперед,заскочить вперед, опередить."
хьалхах1отторг,козлы у арбы.
хьалхах1отто,"1) поставить кого-л. спереди, впереди кого-чего-л.; 2) перен. представить, воспроизвести (мысленно)."
хьалхах1отта,1) предстать перед кем-л.; 2) перен. представиться (в воображении).
хьалхах1итто,"1) ставить кого-л. спереди, впереди кого-чего-л. 2) перен. представлять (в воображении)."
хьалхах1итта,"предстать, предстать перед кем-л.; суьдана хьалхах1иттира тешаш свидетели предстали перед судом."
хьалхахула,нареч. спереди.
хьалхахаадала,хьалхахаа.
хьалхахаа,сесть впереди кого-чега-л.
хьалха-т1аьхьалла,"последовательность, очередность."
хьалха-т1аьхьа,"нареч. последовательно, одни за другим."
хьалхатиттар,выдвижение.
хьалхатитта,"1) выдвигать вперед; 2) перен. выдвигать, отличать, выделить."
хьалхататтар,выдвижение.
хьалхататта,"1) выдвинуть вперед; 2) перен. выдвинуть, отличить, выделить."
хьалхараэриг,запевала.
хьалхараала,запеть.
хьалхалелха,"забегать вперед, опережая других; заскакивать вперед."
хьалхалацадала,хьалхалаца.
хьалхадовларех,нареч. наперегонки; хьалхадовларех уьду бераш дети бегут наперегонки.
хьалхадилла,положить перед кем-л. что-л.; тетрадь хъехархочунна хьалхадилла положить тетрадь перед учителем.
хьалхадаха,опередить объект во мн.; опережать.
хьалхадаларех,нареч. вперегонки; хьалхаваларех ида бежать вперегонки.
хьалхадала,"субъект в ед. опередить, перегнать, обогнать; дошлочул хьалхавала перегнать всадника; накъост дика хилча, ала ша хьалхайолу посл, если напарник хорош, и мерин коня обгоняет (т. е. если работаешь с хорошим товарищем, то работа спорится); вир хьалхадаллалц ца хоьхку говр посл, лошадь гонят (на скачках) не до тех пор, пока осел ее перегонит (т. е. не доводят до изнеможения)."
хьалха,"нареч. впереди, спереди, перед, передо; ц1еношна хьалха перед домом; суна хьалха передо мной; хьалха хао посадить кого-л. спереди, впереди кого-чего-л."
хьалха,"нареч. раньше, сперва, сначала; хьалха ойла е, т1аккха жоп ло сперва подумай, потом отвечай; хьалха дуьйна с давних пор; пхи шо хьалха пять лет тому назад; хьалха санна по-прежнему, как раньше."
хьалнехьа,"нареч. вверх, по направлению вверх."
хъалдолу,"богатый, состоятельный; хъалдолу колхоз богатый колхоз."
хьалдерг,"богатый, состоятельный; хъалдолу колхоз богатый колхоз."
хьал-де,положение; дуьнена юкъара хьал-де международное положение.
хьал-дахар,благосостояние.
хьалаэха,идти вверх.
хьалаэккхадала,хьалаэккха.
хьалаэккха,подскочить (о лежащем или сидящем).
хьалахило,подвинуть кверху что-л.
хьалахила,подтянуться кверху.
хьалахеца,запустить; ракета хьалахеца запустить ракету.
хьалахехкадала,хьалахехка.
хьалахехка,скакать вверх.
хьалахахкадала,халахахка.
хьалахахка,поскакать вверх.
хьалате1о,"приподнимать, выпрямляя."
хьалате1адала,хьалате1а.
хьалате1а,"приподниматься, выпрямляясь."
хьалата1о,приподнять; корта хьалата1о приподнять голову.
хьалата1адала,хьалата1а.
хьалата1а,"приподняться, выпрямившись."
хьаласетто,выпрямлять.
хьаласеттадала,хьаласетта.
хьаласатто,"выпрямить; букъ хьаласатто выпрямить спину, распрямить спину."
хьаласаттадала,хьаласатта.
хьаласатта,выпрямиться; дег1 ма-дду хьаласатта выпрямиться во весь рост.
хьалаозадала,хьалаоза.
хьалаоза,"поднять, вздернуть что-л.; кирхьа хьалаоза поднять занавес."
хьалалехкадала,хьалалехка.
хьалалелхо,1) гнать вверх; 2) согнать.
хьалалелхадала,хьалалелха.
хьалалелха,вскакивать.
хьалалелладала,хьалалалла.
хьалалахкадала,хьалалахка.
хьалалалладала,хьалалалла.
хьалакъада,показаться на поверхностн; арахь хьалакъедда буц в поле появилась трава.
хьалакхоссадала,хьалакхосса.
хьалакхосса,"субъект в ед. подбросить, кинуть вверх; буьрка лаккха хьалакхосса подбросить высоко мяч."
хьалакховдо,"протянуть, подать наверх что-л."
хьалакховда,потянуться кверху.
хьалакхио,"1) растить, выращивать; зезагаш хьалакхио растить цветы; 2) перен. воспитывать; бераш хьалакхио воспитывать детей; кадраш хьалакхио воспитывать кадры."
хьалакхийсадала,хьалакхийса.
хьалакхийса,подбрасывать; бросать вверх; буьрка хьалакхийса подбрасывать мяч.
хьалакхийдо,"протягивать, подавать наверх что-л."
хьалаххийда,тянуться кверху.
хьалакхиадала,хьалакхиа.
хьалакхиа,"вырасти, подрасти; к1ант хьллакхиъна мальчик подрос."
хьалаидадала,хьалаида.
хьалаида,бежать вверх.
хьаладовладала,хьаладовла.
хьаладийладала,хьаладийла.
хьаладийла,1) подниматься вверх; 2) перен. получать повышение по службе.
хьаладахьадала,хьаладахьа.
хьаладала,"субъект в ед, 1) подняться вверх; шолг1ачу этаже хьалавелира иза он поднялся на второй этаж; самолет хьалаяьлла х1авае самолет поднялся в воздух; 2) подняться (об уровне чего-л.); хи хьаладаьлла вода в реке поднялась; 3) перен, увеличиться, подняться; белхан эвсаралла дикка хьалаяьлла производительность труда значительно поднялась; 4) перен. получить повышение (по должности)."
хьаладаккхар,1) поднятие вверх; 2) перен. повышение; 3) перен. возвеличение.
хьаладада,"субъект в ед. взбежать, побежать наверх; лами т1ехула хьалавада побежать вверх по лестнице."
х1укъасторг,"сортирующий; сортировщик, сортировщица."
х1укъастор,сортировка семян.
х1укхачадалар,"вырождение, деградация."
х1удоцург,бессемянный.
х1удоцу,бессемянный.
х1у,"ц1андан очищать (веять) зерно; х1у къасто сортировать семя; х1у таса сеять; 2) биол. зародыш; 3) поколение, порода; дика х1у дерг породистый; х1у кхачадала выродиться, деградировать."
х1оьттинарг,"усталый, утомленный, выбившийся из сил, изнуренный."
х1оччех,ловзар название детской игры.
х1оттадала,х1отта.
х1орстоъ,восклицание при танце.
х1ордкеманча,мореплаватель.
х1ордкема,морской корабль.
х1ордйист,"берег моря, морское побережье, изморье, приморье; х1ордйистехь на берегу моря."
х1ордж1аьла,дельфин.
х1оразза,нареч. каждый раз.
х1о-неканча,воздухоплаватель.
х1олдухьа,межд. окрик на волов при повороте.
х1оккхул,"нареч. столь, столько; х1оккхул сов на столько больше; х1оккх-х1оккхул по столько-то."
х1оккхуза,"нареч. вот сюда, именно сюда."
межд. окрик на волов.,х1ой
х1озтухург,вет. ящур.
х1одоцург,безвоздушный.
х1оарадаха,обмолачивать; шелушить; хьаьаш х1оараяха обмолачивать кукурузу.
х1оа,дан снести яйцо; к1айн х1оа белок яйца; кхерзина х1оаш яичница; <> х1оаш гул дан кудахтать (о курице).
х1иттадала,х1итта.
х1ирашха,нареч. по-осетински.
х1инццалц,"нареч. до настоящего времени, до сих пор, доныне."
х1инцца,"нареч. только что, совсем недавно."
х1иллацахилар,бесхитростность.
х1илладоцург,"бесхитростный, искренний."
х1илладоцу,"бесхитростный, искренний."
х1илладолу,"хитрый, лукавый; неискренний."
х1илладерг,"хитрый, лукавый; неискренний."
х1етте,"а нареч. однако, несмотря на это, все-таки, все же, тем не менее."
х1еттахь,"нареч. усил. тогда же, еще тогда."
х1етталц,"нареч. до того времени, до тех пор, дотоле."
х1етахь,"нареч. тогда, раньше, прежде, в то время; х1етахь дуьйна с тех пор."
х1ета,"союз так, тогда, то, в таком случае; лаьий хьуна, х1ета вало если хочешь, то пойдем; <> х1ете а вете а и так и сяк; так или иначе."
"межд. эй!; х1ей, мила ву цигахь? эй, кто там?.",х1ей
х1аъ,частица да; школе воьду хьо? — х1аъ ты в школу идешь? - да.
межд. окрик на овец.,х1арров
х1ан-х1ан,"межд. ну-ка (при побуждении, приглашении); х1ан-х1ан, схьадийцал ну-ка, расскажи."
х1ан,"2 частица что? (собеседник недослышав, переспрашивает говорящего)."
х1ан,"1 межд. а! (выражает догадку, удивление); х1ан, х1инца кхета со! а, теперь я понимаю!."
х1ан,"частица на, возьми, возьмите; х1ан тетрадь! возьми тетрадь! ."
х1аллакхила,"разориться, разориться; уничтожаться; разрушиться,  разрушаться; погибнуть, погибать; барт боцу юрт а, барт боцу доьзал а х1аллакхилла посл, аул без единогласия и семья без согласия — погибли."
х1аллакдар,разорение; уничтожение; разрушение.
х1аллакдан,"разорить, разорять; уничтожить, уничтожать; разрушить, разрушать; погубить, губить; мостаг1 х1аллакван уничтожить врага."
х1аллакдадала,х1аллакдан.
х1аллакалла,гибель.
х1ай-х1ай,"межд. вот-вот (вырожает одобрение); х1ай-х1ай, иштта алалахь вот-вот, так и скажи."
х1аваан,кема воздушный корабль; х1аваан нека воздухоплавание; х1аваан некъ воздушный путь; х1аваан орца воздушная тревога.
хуъушехь,нареч. сознательно.
хуушдолу,известный.
хуушдерг,известный.
хуург,"от хаа 1 знающий, понимающий."
хуттург,грам. союз; хуттургаш йоцу чолхе предложени бессоюзное сложное предложение.
хурт1урдар,мурлыканье.
хурт1урдан,мурлыкать.
хурбахар,1) фырканье; 2) храпение; 3) мурлыканье.
хур,баха 1) фыркать; говраша хур боху лошади фыркают; 2) храпеть; дойша хур боху кони храпят; набарх хур баха храпеть во сне; 3) мурлыкать; цициго хур боху кошка мурлычет.
хурала,1) фыркнуть; 2) храпнуть.
наст. вр. от худадала.,худалург
хоьржург,от харжа 1. избирающий; выбирающий; 2. избиратель.
хохкург,"к хахка 1) катающийся; скачущий; 2) беговой, скаковой; хохку говраш скаковые лошади."
хохку,"к хахка 1) катающийся; скачущий; 2) беговой, скаковой; хохку говраш скаковые лошади."
хоттар,соединение.
хотталург,соединительный; соединяющий; хотталург дожар грам. вещественный падеж.
хотталахь,нареч. в грязи.
патенц. от хотта.,хоттадала
хоржург,от харжа 1. избирающий; 2. избираемый.
хоржу,от харжа 1. избирающий; 2. избираемый.
холхазашлелорхо,каракулеводство.
холхазашлелор,каракулеводство.
холабар,"стогование, стогометание;."
хозуьйтуш,деепр. вслух; хозуьйтуш книгаш еша читать книги вслух.
ховхалла,1) нежность; 2) свежесть.
хоар,вмещение.
хоам,"вместимость, емкость."
хоадала,хоа.
хишдахкар,"искусственное орошение, обводнение."
хичуьра,ч1ерийдохург цапля.
хичудоьллинарг,"квашеный, моченый, соленый."
хичекхцадолу,водонепроницаемый.
хичекхцадериг,водонепроницаемый.
хичекхдолу,водопроницаемый.
хичекхдериг,водопроницаемый.
хицанекадийриг,водоплавающий; хицанекаден олхазарш водоплавающие птицы.
хицанекаден,водоплавающий; хицанекаден олхазарш водоплавающие птицы.
хихдала,субъект в ед. переправиться через реку.
хих,межд. гей! (возглас при понукании волов).
водокачка.,хиузург
хит1ехао,цамгар уст. сифилис.
хит1едалар,наводнение.
поливка.,хитохар
хирдоккхург,винторезный; хирдоккху станок винторезный станок.
хирдоккху,винторезный; хирдоккху станок винторезный станок.
хирдаккхар,нарезка.
хинк1ашъяхар,икание.
хиндерг,"будущее, будущность."
хиндахка,"ондатра, водяная крыса."
"кулик; х1ор хинбедо а шен 1ам хестабо посл, всякий кулик свое болото хвалит.",хинбад
хилсехье,эта сторона реки.
хилдехье,"заречье, заречная сторона, противоположная стороне берега."
хилам,"явление; 1аламан, хиламаш явления природы."
хилале,"до; до того, как... (случиться, произойти); революци хилале до революции."
хилакъорг,запруда.
хиладала,хила.
хила,"состоять в партии; 2) сбыться, сбываться; осуществиться, осуществляться; хила тардала стать возможным; 3) созреть, зреть, поспеть, спеть; хорбаз хилла арбуз созрел; 4) случиться, случаться; х1ун хилла? что случилось?; хила деза должно быть; хила тарло может быть; хила мега вероятно, по-видимому, наверно; хила мега хан грам. будущее возможное время; хилйолу хан грам, будущее фактическое время; са хила рассветать (букв. быть свету); декъала хуьлда! да здравствует!; х1уъу хилахь а непременно, во что бы то ни стало."
хикхоьхьург,"1. водовозный; 2. водовоз, водонос."
хикхорзург,полоскательница.
хикхарзар,полоскание.
хийцар,"1) перемена, смена; 2) обмен; подмена; 3) изменение; 4) размен; 5) преображение; преобразование."
хийцам,изменение.
хийцадала,"1) хийца; 2) перемениться, смениться, сменяться; куьйгалла хийцаделла руководство сменилось; 3) обменяться, обмениваться; 4) измениться, изменяться; юьхь т1ехь хийцавала измениться в лице; <> хийцалу дош грам. изменяемое слово."
хийла,"нареч. очень много, много-много; хийла зама елира цул т1аьхьа много-много времени прошло с тех пор."
хидуьллург,ватерпас.
хидоцург,безводный; хидоцу еса аре безводная пустыня.
хидоцу,безводный; хидоцу еса аре безводная пустыня.
хидохден,водогрейный; хидохден яй водогрейный котел.
хидиллар,обводнение.
хидестар,наводнение.
хидаьккхинарг,"черненый, вороненый; хидаьккхина болат черненая сталь."
хидаьккхина,"черненый, вороненый; хидаьккхина болат черненая сталь."
хидаккхар,"чернение, воронение (металла)."
хеяьхьнарг,утопленница.
хецаделла,собака сорвалась с цепи.
хецадала,1) хеца; 2) развязаться; распуститься; 3) сорваться; ж1аьла з1енах.
хехкар,1) катание; 2) скачка; 3) гонка.
хехкадала,хехка.
хеттарш,опрос.
хеттадала,хетта.
хестор,"восхваление, прославление."
херцадала,херца 1|2.
херххьокхург,пильщик.
херххьакхар,"пиление, пилка."
хержадала,хержа.
хердан,"1) приотворить, приотворять, приоткрыть, приоткрывать; не1 херъе приоткрой дверь; 2) перен, оттолкнуть, отталкивать; цо шех доттаг1ий хербина он оттолкнул от себя друзей."
хердала,"приотвориться, приотворяться, приоткрыться, приоткрываться; не1 херъелла дверь приотворилась."
херадийла,"1) растрескиваться; давать щели, трещины; 2) перен. отдалиться от кого-л., прекращать близкие отношения с кем-л."
херадаха,отдалить объект во мн.; отдалять.
херадала,"субъект в ед. 1) растрескаться, образоватьщели; 2) перен. отдалиться от кого-л. прекратить близкие отношения с кем-л.;. доттаг1ех хераваьлла иза он отдалился от друзей."
херадаккха,"объект, в ед. отдалить от кого-чего-л."
хенахь,нареч. к хан вовремя.
хенахз1окъеттарг,дятел.
хезийла,слышимость.
2 от хеда.,хедар
хедар,1 блюдо (посуда).
хедадала,хеда.
хеваьхьнарг,"утонувший, утопленник."
