noxchi;russian
Хаза а хеташ;С радостью
Хазахетарца;
Собар делахь, со хIинцца схьавогIу хьуна;Подожди, пожалуйста, я сейчас приду
Собар делахь, со хIинцца схьайогIу хьуна;Подожди, пожалуйста, я сейчас приду
XIapa урам мичахь бу эр дацара ахьа?;Ты бы не сказал мне, где эта улица?
Хьо хаза а яй, xlapa офис мичахь ю ал ахьа соьга;Красавица, скажи мне, пожалуйста,где этот офис?
Хьажахьа, кIант, хьуна туька мичахь ю ца хаьа?;Послушай, парень, ты не знаешь,где универмаг?
Кхуза охьахаа мегар дуй?;Сюда можно сесть?
Кхузахь Iаш цхьа а вуй?;Здесь кто-нибудь сидит?
Хьажа мегар дуй?;Можно посмотреть?
Мегар ду;Можно
XIaн -xlaн, мегар дац;Нет, нельзя
Стогар лато мегар дуй?;Можно, я включу свет?
Аса стогар дIабойур бара, шу дуьхьал-м дац?;Вы не против, если я выключу свет?
Хьо дика а яй, хьешацIа долчу муха яха еза гайтахьа суна;Будь добра, покажи мне, пожалуйста, как пройти к гостинице
Тховса xlyн деш ву хьо?;Что ты делаешь сегодня вечером?
Со йолчу йолахьа;Приходи ко мне
Со волчу волахьа;Приходи ко мне
Хьайгахь делахь, бIе доллар къастадехьа;Разменяй, пожалуйста, I00 долларов, если у тебя есть
Соьца хьошалгIа ван лаьий хьуна?;Ты хочешь пойти со мной в гости?
Соьца театре йолахьа;Пойдем со мной в театр , пожалуйста
Хьо вогIий соьца?;Ты пойдешь со мной?
Санхьоьга цхьа дехар ду;У меня к тебе одна просьба
Со дехьавалийтахьа;Разрешите пройти
Кхин а цхьа чайнан кад бахьа;Принеси, пожалуйста, еще чашку чая
Хьайна хала дацахь, хи кховдадехьа суна;Если тебе не трудно, подай мне, пожалуйста, воду
ДIаэца;Возьми
Баркалла, хи мел дезачунна йоьзийла;Спасибо (пусть тебя любят все, кто любит воду)
Хьуна хIумма а оьший?;Тебе что-нибудь нужно?
ХIун ло аса?;Что подать?
Цигаьрка оза мегар дуй?;Закурить можно?
Мегар делахь, телефон тухур яра-кх аса;Я бы позвонил, если можно
Соьга хьоьжуш нах бу, шун пурбанца со дГавоьду;С вашего разрешения я покину вас, меня ждут
Аса дехар до шуьга, гIовгIанаш ма ейша;Я прошу вас, не шумите, пожалуйста 
Трубка охьа ма йиллапахь;Не клади трубку, пожалуйста
Трубка схьаэцахьа;Возьми трубку, пожалуйста
Хьайна хала дацахь, балха телефон тохахьа соьга;Если тебе не трудно, позвони мне на работу, пожалуйста
Бер дIалацахьа;Подержи, пожалуйста, ребенка
Цхьана минотана охьахаахьа;Присядь, пожалуйста, на минуточку
Дийцахьа, хIун дара цигахь?;Расскажи, пожалуйста, что там было?
Кхин хIумма а ма алалахь;Пожалуйста, больше ничего не говори
ХIун элира ахьа?;Что ты сказал?
Юхаалахьа;Повтори, пожалуйста
Хьо ара ца волу?;Ты не выходишь?
Со дехьаялийтахьа, со арайолу;Пропусти меня, пожалуйста, я выхожу
Хьайн адрес яздехьа суна;Напиши мне, пожалуйста, свой адрес
Хьайн телефон лохьа суна;Дай мне, пожалуйста, свой телефон
Хатта мегар дуй?;Можно спросить?
Аравала мегар дуй?;Можно выйти?
ДIа ма гIохьа, аса дехар до хьоьга;Я прошу тебя, не уходи, пожалуйста
Аса дIайигий хьо?;Проводить тебя?
Аса дIавигий хьо?;Проводить тебя?
Хьо дIайига пурба лой ахьа?;Разрешите вас проводить? 
Вокзале дIайигахьа со;Отвези меня, пожалуйста, на вокзал
ДГаваха мегар дуй?;Можно уйти?
ДIаяха мегар дуй?;Можно уйти?
Собар дехьа;Подожди, пожалуйста
Хьо стента воьду, алахьа?;Скажи, пожалуйста, куда ты едешь?
Хьо стента йоьду,алахьа?;Скажи, пожалуйста, куда ты едешь?
Со хьоьца ван мегар дуй?;Можно я пойду с тобой?
Со хьоьца ян мегар дуй?;Можно я пойду с тобой?
Тхо хьоьца дахка мегар дуй?;Можно мы пойдем с тобой?
Тхо шуьца дахка;Можно мы пойдем с вами?
мегар дуй? ;Можно мы пойдем с вами?
БАРКАЛЛА АЛАР.;БЛАГОДАРНОСТЬ.
ДЕКЪАЛДАР;ПОЖЕЛАНИЯ
ДЕКЪАЛДАР;ПОЗДРАВЛЕНИЯ
Баркалла!;Спасибо!
Дела реза хуьйла!;Спасибо! 
Дела реза хуьйла!;Пусть Бог будет доволен!
Массарна а баркалла ала лаьа суна;Я хочу всех поблагодарить
Баркалла шуна...;Спасибо вам, за то, что ...
Баркалла шунадахкарна а;Спасибо вам, за то, что пришли
Баркалла шунагIо дарна а;Спасибо вам, за то, что помогли
Баркалла шунахаза дош аларна а;Спасибо вам, за то, что сказали доброе слово
Баркалла шунасо ларарна а;Спасибо вам, за то, что уважили меня
Баркалла шунадакъа лацарна а;Спасибо вам, за то, что приняли участие.
Баркалла шунадекъалварна а;Спасибо вам, за то, что поздравили
Баркалла шунахьошалгIа кхайкхарна а;Спасибо вам, за то, что пригласили в гости
Баркалла шунахьехар дарна а;Спасибо вам, за то, что за совет
Баркалла, са ма гаттаде;Спасибо, не беспокойся
Дала аыто бойла!;Дай Бог удачи!
Дика мел дерг кху чу!;Все лучшее в этот дом!
Ирс долуш хуьйла!;Будь счастлив!
Дала дукха яхайойла!;Дай Бог долгой жизни!
Дала дукха вахавойла!;Дай Бог долгой жизни!
Дала могушалла а. барт а, ирс а хуьлийла тун доьзалехь!;Пусть Всевышний пошлет вашей семье здоровье, согласие и счастье!
Йиънарг а, мелларг а дала саг!а йойла!;Съеденное и выпитое пусть будет пожертвованием!
Дала имий, беркаттий шортта латтадойла шун чохь!;Пусть Всевышний сохраняет в вашем доме согласие и изобилие!
Дагахь мел дерг кхочуш хуьйла!;Пусть сбудутся ваши мечты!
Дала могушалла лойла!;Дай Бог здоровья!
Дала маршалла дойла!;Дай Бог здоровья!
Дала эзар балех хьалха воккхийла!;Пусть Всевышний спасет от тысячи бед!
Дала могуш-маьрша юхадерзадойла шу! ;Пусть Всевышний здоровыми и свободными возвратит вас!
Поза юург хуьйла!;Приятного аппетита
Аса декъал йо хьо ...;Я поздравляю тебя с ...
Аса декъал йо хьо йинчу денца;Я поздравляю тебя с днем рождения
Аса декъал йо хьо керлачу шарца;Я поздравляю тебя с новым годом
Аса декъал йо хьо дезачу денца;Я поздравляю тебя с праздником
Дала декъал войла!;Пусть Бог благословит!
Дала декъал йойла!;Пусть Бог благословит!
Дала ворх! веши н ваша хуьйла!;Дай Бог, чтобы он был братом семи братьев! 
Дала ворх! вешин йиша хуьйла!;Дай Бог, чтобы она была сестрой семи братьев! 
Дала дукха вахавойла и!;Дай Бог ему долгой жизни!
Дала дукха яхайойла и!;Дай Бог ей долгой жизни!
Дала барт цхьаъ бойла;Дай Бог согласия!
Дала декъал дойла вай!;Да благословит нас Всевышний!
Марха къобалдойла, хьегна къа дала меле яздойла, ца кхаьбначунна дала гечдойла!;Да будет пост благославлен, пусть Бог зачтет, как благодеяние, твой труд, а тем, кто не держал пост, пусть Бог простит!
Мовлад къобал caгIa хуьйла!;Обряд в честь дня рождения пророка Мухаммеда да будет пожертвованием!
Мовлад дала къобал йойла!;Да благословит Всевышний обряд в честь пророка Мухаммеда!
Дала дикачух ма дохийла вай, дала вочух лардойла вай!;Да не лишит нас Всевышний добра, да убережет нас Всевышний от зла!
Мах беркате хуьйла!;Пусть продажа принесет достаток!
Хьан хIуманаш мехала йовлийла;(Пусть твои вещи (товар) продадутся!)
Поза юург хуьйла!;Приятного аппетита!
КАДАМ БАР;СОБОЛЕЗНОВАНИЕ
Халхетара” дакъа лоцу-кх!;Сочувствую (Принимаю участие в горе)
Дала гечдойла цунна, дала вирзина меттиг декъал йойла!;(Да простит Всевышний все его грехи, да благословит Всевышний его возвращение (место, куда он прибыл)!)
Шуна дала иманца собар лойла!;(А вам пусть Всевышний даст со смирением терпение!)
Дела реза хуьйла!Аша мел баьккхина ког дала меле лорийла! Юхадоьлхуш, дикане гIойла!;(Спасибо. Пусть ваш приход Всевышний зачтет вам как благодеяние!) (Да пойдете вы в следующий раз радоваться (на хорошее)!)
Бехк ма биллалахь;Извини, пожалуйста
Бехк цабиллар доьху;Прошу прощения
Бехк ма биллалахь...;Извини, пожалуйста ...
Бехк ма биллалахьсо тIаьхьависарна;Извини, пожалуйста за опоздание
Бехк ма биллалахьхьо юкъахваккхарна;Извини, пожалуйста что прерываю тебя
Бехк ма биллалахьхьайн хан яйарна;Извини, пожалуйста что отнял у тебя время
Хьуна халхетар дан воллуш вацара со;Я не хотел тебя обидеть
Хьуна халхетар дан йоллуш яцара со;Яне хотела тебя обидеть
Цу тIехь со бехке вац;Я не виноват в этом
Со бехке яц;Я не виновата
И сан бехк бац;Это не моя вина
Со бехке ву, къинтIера яла суна;Я виноват, извини (прости) меня
И сан бехк бу, къинтIера вала суна;Это моя вина, прости меня
ОьгIаз ма гIохьа!;Не сердись (не злись), пожалуйста
Дегабаам ма бехьа!;Не обижайся, пожалуйста!
ХIума дац, са ма гаттадейша!;Ничего, не беспокойтесь! 
Сагаттадан оыпуш хIума дац!;Не стоит беспокоиться!
Со бехке ву хьуна хьалха!;Я виноват перед тобой!
Со бехке ю хьуна хьалха!;Я виновата перед тобой!
Бехк ма билла, суна ца хаьа;Извини, я не знаю
Со дохковаьлла;Я раскаиваюсь
Со дохкояьлла;
Тхо дохкодоьвлла;Мы раскаиваемся
Суна чIогIа къахета цунах!;Мне очень жаль ее (его)
Суна халахета и хилла;Я сожалею о случившемся
Хьо нийса ца кхетта аса бохучух;Ты неправильно понял то, что я сказал
Пуллакх муха ду хьуна аьлча...;Дело в том, что...
Аса ма аллара...;Как я уже сказал...
Кхечу кепара аьлча...;Если сказать по-другому...
Хьо кхетий аса дуьйцучух?;Ты понимаешь, о чем я говорю?
Бехк ма билла, нохчийн мотт вон бийцарна;Прости, что плохо говорю по-чеченски
ХIума дан!;Ничего!
И сан Палат ду!;Это моя ошибка
КъинтIера вала суна!;Прости меня!
КъинтIера яла суна!;Прости меня!
Со къинтIера яьлла хьуна, Дела къинНера волийла хьуна!;Я простила тебя, пусть Бог простит тебя!
Халахета-кх xlapa иштга нисделла!;Сожалею, что это так случилось!
Аса xlyн гIo де шуна?;Чем я могу вам помочь?
РЕЗАХИЛАР.;СОГЛАСИЕ.
ЧIАГIДАР;ПОДТВЕРЖДЕНИЕ
ХIаъ;Да
ХIаъ, хьо бакъ ву;Да, ты прав
ХIаъ, хьо бакъ ю;Да, ты права
ХIаъ, шу бакъ ду;Да, вы правы 
Дика ду;Хорошо
ЧIогIа дика ду;Очень хорошо
Иштга ду и;Это так
Иштга дан а ду и;Это так и есть
И иштга долчух тера ду;Похоже, что это так
И бакъ ду;Это правда
И сил бакъ ду;Это сущая правда
И цIена бакъ ду;Это чистая правда
Схьахетарехь, и бакъ ДУ;По-видимому, это правда
И нийса ду;Это правильно
Хьо нийса лоь;Ты правильно говоришь
Ахьа дуьйцург нийса ду;То, что ты говоришь — правильно
Хьуна нийса хетий, аса бохург?;Ты считаешь правильно то, что я говорю?
Ахьа бохург нийса хета суна;Мне кажется, то,что ты говоришь — правильно
Ахьа ма бохху хуьлуьйтур вай!;Пусть будет по-твоему
Цхьадолчунна т!ехь хьо бакъ ву;Отчасти ты прав
Аса гIo дийр ду хьуна;Я помогу тебе
Аса, сайга далуш дерг, дерриге а дийр ду;Я сделаю все возможное
Со теша;Я верю
Мегар ду. Со дуьхьал ван Со дуьхьал яц;Можно. Я не против
И дан мегар ду;Это можно сделать
И нийса хир ду;Это будет правильно
Суна и мегаш ду-кх;Меня это устраивает
И-м кхераме дацара;Ничего страшного
Цунна са ма гаттаде ахьа;Пусть тебя это не беспокоит
Вайна лаахь а, ца лаахь а, иштга ду-кх и;Хотим мы того или нет, но это так
Ахьа аьлларг вуно мехала ду;То, что ты сказал, очень весомо (значимо)
Со реза ву;Я согласен (доволен)
Со реза ю;Я довольна (согласна)
Хьо реза ван, аса;Ты не согласен с тем, что я
бохучунна?;говорю?
Реза ву;Согласен(согласна)
Ахьа боххучунна, со;Я согласен со всем, что ты
реза ву-кх!;говоришь!
Ахьа боххург дийр ду-;Мы сделаем то, что ты
кх вай!;говоришь!
Дийр дуй? Дийр ду;Сделаете? Сделаем!
И чIогIа дика ду;Это очень хорошо
РЕЗАЦАХИЛАР. ТIЕЦАЛАЦАР. ШЕКОХИЛАР;ОТКАЗ. СОМНЕНИЕ
ХIан-хIан;Нет
ХIан-хIан, хьо бакъ вац!;Нет, ты не прав
И дика дац;Это нехорошо
И вон ду!;Это плохо
И иштта дац!;Это не так!
И бакъ дац!;Это неправда!
Хьо бакъ вац!;Ты не прав!
Хьо бакъ яц!;Ты не права!
Шу бакъ дац!;Вы не правы!
Схьахетарехь, и бакъ дац!;По-видимому, это неправда
И бакъ хила гена ду;Это далеко от правды
И нийса дац;Это неправильно
И харц ду!;Это неправда!
Хьо харц лоь!;Ты говоришь неправду!
Хьо нийса яц!;Ты не права!
Хьо нийса вац!;Ты не прав!
Ахьа дуьйцург нийса дац;То, что ты говоришь, неправильно
Суна и нийса ца хета;Я считаю, что это неправильно
Со дуьхьал ву;Я против
Со дуьхьал ю;Я против
Со реза вац;Я не согласен
Со реза яц;Я не согласна
Хьуна хала а ма хета, амма аса и дийр дац;Ты не обижайся, но я этого делать не буду
Хьо гIалатваьлла;Ты ошибся
Хьо гIалатъяьлла;Ты ошиблась
Со хьох ца теша;Я тебе не верю
И хила йиш йолуш дац;Это невозможно
Цу хьокъехь сан кхин ойла ю;Я на этот счет другого мнения
И иштта ду, амма...;Это так, но...
ХIан-хIан, баркалла;Нет, спасибо
ХIан-хIан, халахетахь а, соьга и далур дац;Нет, к сожалению, я этого сделать не смогу
Бехк ма билла, амма аса и дийр дац;Извини, но я этого делать не буду
Аса жоп лур дац;Я не буду отвечать
Баркалла, суна ца лаьа;Спасибо, я не хочу
Ала хала ду;Трудно сказать
Со шек ву;Я сомневаюсь
Со шек ю;Я сомневаюсь
Бехк ма билла, сан гIуллакхаш ду;Извини, у меня дела
Аса-м эр дацара и;Я бы этого не сказал
Шеко ю-кх!;Сомнительно!
И шеко йолуш хIума ду-кх!;Это сомнительно!
Тамаша бу-кх и иштта делахь!;Вряд ли это так!
Халахеташ делахь а, хьан дехар соьга кхочуш далур дац;К сожалению, я не смогу выполнить твою просьбу
Мелхо а суна иштта ца хета;Наоборот, мне так не кажется
Со ца теша, ахьа дуьйцучух;Я не верю тому, что ты говоришь(рассказываешь)
Со ца теша;Я не верю
Хьанна хаьа и!;Кто его знает!
Цунах теша хала ду!;В это трудно поверить!
Тамаша бу-кх;Вряд ли
Цхьадолчунна тIехь хьо бакъ вац;Отчасти ты не прав
И санна дерг а хуьлу;И такое бывает
Со вогIур вац;Я не приду
Со йогIур яц;Я не приду
Сан йиш яц;Мне некогда
Сан хан яц;У меня нет времени
Со мукъа вац;Я занят (не свободен)
Со мукъа яц;Я занята (не свободна)
Соьга ма хьежа!;Не жди меня!
Ахьа ма бохху дац и;Это не так, как ты говоришь
Сан дог ца догТу;Мне неохота
Шу хIинца тIеэца йиш яцсан;Я не могу сейчас вас принять
Ахьа хIун дуьйцу?;Что ты говоришь?
Ахьа боккъал бохий?;Ты правду говоришь?
Иштта дуй-те и?;Так ли это?
Хила а мега;Может быть
Бакъ дуй-те и?;Правда ли это?
Хьан аьлла хьоьга?;Кто тебе сказал?
Иштта долчух тера дац и;Не похоже, что это так
И ала хала ду;Трудно сказать
Ахьа бохучух теша хала ду;Трудно поверить в то, что ты говоришь
Хьо ца теша?;Ты не веришь?
Хьо сох ца теша?;Ты мне не веришь?
Со хьох ца теша;Я тебе нс верю
Тамаша бу-кх и иштта делахь;Вряд ли это так
Со шек ву-кх и иштта хиларх;Я сомневаюсь, что это так
Схьахетарехь, и иштта дац;По-видимому, это не так
Иштта ца хила а там бу и;Возможно, это не так
И иштта ца хила а мега;Может быть, это и не так
ХААМ БАР;ПРЕДУПРЕЖДЕНИЕ
Тидаме хила!;Будьте внимательны!
Ларлуш хила!;Будьте осторожны!
Корта дIа ма тохалахь!;Не ударься головой!
Охьа ма вожалахь!;Не упади!
Охьа ма йожалахь!;Не упади!
Коьрта хIума тилла, шеллур ю хьо!;Покрой голову, замерзнешь!
Пуллакх доцург ма дийца!;Не говори то, что не нужно! (нс говори лишнего)
Шийла хи ма мийла, легаш лозур ду хьан!;Не пей холодную воду, горло будет болеть!
Собар де, сих ма до!;Подожди, не спеши!
Ларло!;Осторожно!
Меллаша г!о!;Иди медленно!
ДIавада!;Беги!
ДIаяда!;Беги!
ДIадовда!;Бегите! 
ДIасадовла!;Расходитесь! 
Сихлолахь!;Поторопись!
Саца!;Остановись!
Совца!;Остановитесь! 
Меттах ма валалахь!;Не двигайся!
Ма де и!;Не делай этого!
Ма гIолахь цига!;Не ходи туда!
ДIавала цигара, цигахь кхераме ду!;Уходи оттуда, там опасно!
ДIаяла цигара, цигахь кхераме ду!;Уходи оттуда, там опасно!
ЦЕЦВАЛАР.;УДИВЛЕНИЕ.
КАРЗАХВАЛАР;РАЗДРАЖЕНИЕ
Ахьа xlyн дуьйцу?!;Что ты говоришь?!
Цо х!ун дуьйцу?!;Что он говорит?!
Боккъаллий?!;Правда?!
Бакъ хир ма дац и!;Не может этого быть!
Хьажахь!;Ты посмотри!
Муха мегар ду?!;Как можно?!
Бегаш ма бехьа!;Не шути!
ДIавалахьа!;Да брось ты!
ДIаялахьа!;Да брось ты!
Юкъа ма гIерта!;Не вмешивайся!
Ва, Дела!;О, боже!
Суна кIордийна!;Мне надоело!
Со логгец вуьзна!;Я сыт по горло!
Со логгец юьзна!;Я сыта по горло!
Хьайн гIуллакх доцчу ма гIерта! ;Не лезь не в свое дело!
И хьан гIуллакх дац!;Это не твое дело!
Мосазза ала деза?!;Сколько раз нужно говорить?! 
И сан гIуллакх ду;Это мое дело!
Аса бIозза аьлла-кх хьоьга! ;Я тысячу раз говорил тебе! 
Витахьа со!;Оставь меня в покое!
Дитахьа тхо!;Оставь нас в покое!
Йитахьа со! Дитахьа тхо!;Оставь нас в покое!
Ахьа забар-м ца йо?;Ты не шутишь?
ДIавалахьа суна;Уйди с моих глаз!
гучуьра! ДIаялахьа суна гучуьра! Дата а деъний хьуна!;Придумал же ты!
Дата а муха деъна хьуна и санна дерг?!;Как ты мог придумать такое?!
Масео а хIуманан барам хила беза!;Всему должна быть мера!
XI ара хIун ду дан а?!;Да что это такое?!
Ма дохковер ву хьо!;Как ты пожалеешь!
Шу дохкодоьвр ду шуна!; Вы пожалеете!
Суна цхьана а хIумане ладогIа ца лаьа!;Я не хочу ничего слышать!
Тоьар ду!;Хватит!
Сан хIун бехк бу?!;В чем моя вина?!
Цкъа делахь;Во-первых
ШолгIа делахь;Во-вторых
Схьахетарехь;По-видимому
Суна хетарехь;По-моему
Бакъ дерг аьлча;Откровенно говоря
Доцца аьлча;Короче говоря
Нагахь;Если
Нагахь санна;Если
Цундела;Поэтому
ХIунда;Почему
ХIунда аьлча;Потому что
Цул сов;Более того 
Цул сов;Кроме того
Иштта дIа кхин а;И так далее
Мелхо а;Наоборот
И сох доьзна дац;Это от меня не зависит
Хьанна хаьа оьший а;Кто знает, может пригодится
Цхьа дехар ду сан;У меня одна просьба
Со кIадвелла, суна наб йогIу;Я устал, я хочу спать
Со кIадъелла, суна наб йогIу;Я устала, я хочу спать
Со мацвелла, суна яъхIума еза;Я проголодался, я хочу есть
Со мацъелла, суна яъхТума еза;Я проголодалась, я хочу есть
Со хьагвелла, суна хи деза;Меня мучает жажда, я хочу пить (воду)
Со вуьзна;Я наелся
Со юьзна;Я наелась
Со меца вац;Я не голоден
Со мецаяц;Я не голодна
Со йохъелла;Мне жарко
Со вохвелла;Мне жарко
Со шелло;Мне холодно, я замерз
со шел велла;Мне холодно, я замерз
Со шелло;Мне холодно, я замерзла
со шелъелла;Мне холодно, я замерзла
Со тилвелла;Я заблудился
Со тилъелла;Я заблудилась
Яздехьа;Напиши, пожалуйста
Гайтахьа;Покажи, пожалуйста
Алахьа;Скажи, пожалуйста
ДIайигахьа;Отвези, пожалуйста
Xlaн, дIаэца;На, возьми
Лохьа;Дай, пожалуйста
ХIаъ;Да
ХIан-хIан;Нет
Дика ду;Хорошо
Вон ду;Плохо
Мегар ду;Можно
Мегар дац;Нельзя
Дела реза хуьйла!;Спасибо!
Баркалла!;
Бехк ма биллалахь!;Извини, пожалуйста!
Бехк ма билла!;Извини!
ХIун бахьана долуш?;По какой причине?
Муьлха?;Какой?
МосалгIа?;Который?
Мел?;Сколько?
Хьаьнца?;С кем?
Стенца?;С чем?
И мила ю?;Кто это?
И мила ву?;Кто это?
Мила ву цигахь?;Кто там?
ХIун хилла?;Что случилось?
И хIун ду?;Это что такое?
ХIун ду цигахь?;Что там?
И бохург xlyн ду?;Что это значит?
Хьо xlyн деш ву?;Что ты делаешь?
Хьуна xlyн лаьа?;Что ты хочешь?
Xlyн де аса?;Что мне делать?
Мила ву?;Кто?
Уьш муьлш бу?;Кто они? Это кто?
XIapa мила ву?; Это кто?
И xlyн ю?;Что это?
XIoрш xlyн ю?;Что это?
Шу стенга доьлху?;Куда вы идете? (едете, летите)
Хьо стенга воьду?;Куда ты идешь?
Хьо стенга йоьду?;Куда ты идешь?
Вай стенга доьлху?;Куда мы идем?
Стенга ваха лаьа хьуна?;Куда ты хочешь пойти?
Стенга яха лаьа хьуна?;Куда ты хочешь пойти?
Стенгахь? Мичахь?;Где?
Вай мичахь ду?;Где мы?
И мичахь ву?;Где он?
И мичахь ю?;Где она?
И мичахь дара?;Где это было?
Хьо мичахь Iаш ву?;Где ты живешь?
Стенгахь соьвцна шу?;Где вы остановились?
Вокзале мосалгIа автобус йоьду?;Какой автобус идет на вокзал?
ЦхьайтталгIаниг йоьдий? ;Одиннадцатый идет?
XIapa чамда хьена” ю?;Чей это чемодан?
XIapa хIумнаш хьа нюй?;Это твои вещи?
Шуна xlyн оьшу?;Что вам нужно?
Бепиг оьший шуна?; Вам хлеб нужен?
Хи дай хьуна?;Тебе принести воду?
Лор кхайкхий аса?;Вызвать врача?
ГIо дей хьуна?;Тебе помочь?
ГIо оьший хьуна?;Тебе нужна помощь?
Тховса мукъа юй хьо?;Ты свободна сегодня вечером? 
Кхана xlyн деш ву хьо?;Что ты делаешь завтра?
 Хьо xlyн дан йоллу?;Что ты собираешься делать?
Хьо xlyн дан воллу? ;Ты уходишь?
Хьо дIайоьду?;Ты уходишь?
Хьан цIе xlyн ю?;Как тебя зовут?
Юадвеллий хьо?;Ты устал?
КIадъеллий хьо?;Ты устала?
КIадделлий шу?;Вы устали?
Xlyн размер лелайо ахьа?;Какой размер ты носишь?
Маца вола со?;Когда мне прийти?
Маца дуьйла тхо?;Когда нам прийти?
ХIунда ца вогIу хьо?;Почему ты не приходишь?
 Хьо хIунда ца еара?;Почему ты не пришла?
 И хIунда дира ахьа?;Зачем ты это сделал?
Хьан мае шо ду?;Сколько тебе лет?
Билетах xlyн доьху?;Сколько стоит билет?
Некъал сехьа;По эту сторону дороги
