noxchi,russian
И бакъ дац,Это не правда
балалайка,Дечик пондар
сан да-нана дукха деза суна,Люблю своих родителей!
г1о нохчи,плохой чеченец
сан жима малик,мой  маленький ангелочек
"и къам хаза ца хета суна, 1ад дити вай и хабарш","мне не нравится эта нация, не хочу продолжать эту тему!"
ма хаза суьйре ю-кх,какой прекрасный вечер
декъал во ас хьо,поздравляю тебя
кхо зуда,три женщины
тха адам,наш человек
ткъе исолг1а,Двадцать девятое
Нохчийчохь маца хилла хьо?,Когда в Чечне была?
Нохчийчохь маца хилла хьо?,Когда в Чечне был?
цхьажимма нохчийн мотт хаьъ суна,я немного знаю чеченский
Теша соьх,Поверь мне
"Рейс сацийна тха, т1аьхьо д1акхочар ду",Задерживают рейс - будем позже
тешми зам яц яр,Сомнительное сейчас время
1овдал йо1 ю хьо,Ты глупая девушка
шолгІа дакъа,вторая часть
Ас вицвир яц хьо,Я тебя не забуду
Ас вицвир вац хьо,Я тебя не забуду
Хьай дешан жоп дала дезар ду ахь,Ты будешь отвечать за свои слова
Со хьо вайча ца мега,Видеть тебя не могу
Х1ун деш ю хьо,Что делаешь?
Но хаз ханнам яр,красивое было время
Хьошалха йоьдаш ю,В гости иду
Лулахо дик йо1 ю,Соседка хорошая девушка
Забарш я ца оьша,Не надо шутить
Хазум ю хьо,Красивая ты
хью 1овдал юй ма хаити,"Не дай знать людям, что ты дура"
со хьуна хаза хета,я тебе нравлюсь
Сан дахарел дукха йеза суна хьо,Я люблю тебя больше своей жизни
Сан дахарел дукха веза суна хьо,Я люблю тебя больше своей жизни
Ирсе,счастливая
"1ад ма йита со, хьоменаг",НЕ БРОСАЙ МЕНЯ ЛЮБИМЫЙ
г1ойт1архо,житель села Гойты
"Суна хьо хаза хета  амма сан т1ехьийза к1ант волуш ву, къинт1ера вала суна",Ты мне нравишься но понимаешь у меня есть парень мы можем быть только друзьями ты не обижайся  на меня я сама виновата
Из мил ву?,Кто это?
"Цхьа1, шиъ, кхоъ",Раз два три
Сан майрачуьнга телефон ма йетта,Не звони моему мужу
Ахьа вообще хаза дуьцкх хьуна и ала х1ума доцш,ты очень красиво это говоришь
"Вист а ма ца хуьлу хьо,  Я х1умма дац соьга ала?",Почему молчишь? Или нечего мне сказать?
нохчи яц со,не чеченка я
ваалайкум ассалям дик хирам дар,"ваалайкум ассалам, хорошо было бы"
Болх беш ю,Работаю!
Болх беш ву,Работаю!
Тейп х1ун ду хьа,Какой у тебя тейп?
Хьо вуар вар ас,Хочу съесть тебя
Хьо даиман,Ты всегда
Т1акх нах ма ле бе,Тогда не обманывай людей
Тахан г1алахь вуй хьо?,Ты сегодня в городе?
со реза ву,я говорю да
со реза ю,я говорю да
халха довла,танцуем
Ас вуар вара хьо,Съела бы тебя
"Суна  хьо дукха веза, к1ант",Я люблю тебя парень!
Юха дуьйцар ду ас,потом расскажу
б1аьрг,Глаз
Кхан хир ду сурт,Завтра будет фотка
Тимур мил ву?,кто такой тимур
Ала х1ум дац,Слов нет
Вало д1айиж,"Давай, спать"
Йало д1айиж,"Давай, спать"
Дала аьтто бойла,Удачи
Дог лоза-кх,сердцу больно
Хьо тенгар ю?,ты от куда?
Хьо тенгар ву?,ты от куда?
Хьо хьан реза вац?,Ты чем недоволен
ва ма кур ю хьо,Какая же ты гордая
Со ах нохчи юй,Я наполовину чеченка!
хьо соьг маре йохи,выйдешь за меня
сан хьоменаг,мой дорогой
сан хьоменаг,мой любимый
Мел хан яьлла?,сколько сейчас времени
Ца кхитир со,я не поняла тебя
Кхи ма язде соьга,Не пиши мне пожалуйста
Ша дерриге дика ду,все хорошо
Со хьа хир ю,Буду твоей
Суна наб йоха,я спать хочу
ела маела,не смейся
суна нохчийн мотт хаъ,а я знаю чеченский
со кхоьра,мне страшно
"1ад-1е, хьашт доцург ца дуьйцуш","хватит, не говори не нужное"
Мадина кхана Сольжа-Г1ала йоьдаш ю,Мадина завтра едет в Грозный
хиан 1аш ву,сижу
хаза зезагаш,красивые цветы
аш х1у дуьйца?,Вы о чем?
корта лозаш бац,Голова не болит
Ас корта хьа боккхар бу хьан,Я тебе голову оторву
Мал кхетта,солнечный
со садике ваха везаш ву,мне надо идти садик
Ну да,им ду
хоь ч1ог1а оьша суна,ты мне очень нужна
"из х1у ю, ца кхитир со",Че это я не пойму?
Телефон охьа х1унда йиллир ахь?,почему положил трубку?
"Со а, сан ваша а",я и мой брат
Со хьан ваша ву,Я брат твой
х1ара сан т1ехьийза йо1 ю,это моя девушка
сан йезар,моя любимая
д1а саца йе хьай бат,закрой свой рот
хьалха лора,раньше дарил
наб кхеттер суна,я заснула
гезри,козлы
суна хьо ч1ог1а оьшу,ты мне очень нужна
"Мама, хьо ц1ахь мац хир ю?",Мама ты когда дома будешь
Сан йезар,моя любимая
Телефон хам етш яр?,кто тебе звонил?
Юрт,село
Хьо яри туькан чохь,Это ты была в магазине?
тахан дийно сарралац мокъа яцар со,я сегодня весь день была занята делами
Доьвзаш хир ду вай,будем знакомы
суна лаьа д1а йижа,я тоже хочу спать
Бутт чекх болш ва хожур ву,в конце месяца постараюсь приехать.
Хьо болх бина мац волаш ву?,когда ты закончишь работу?
Баркал,Спасибо
Со ца кхитир хьоьх,я не поняла тебя
И информаци тенгар ю хьоьгахь?,откуда у тебя эта информация?
Со бусулба ю,я мусульманка
Ва лахь вола со г1о хилла,приди если сможешь мне плохо
хьо нохчи вуй?,а ты чеченец?
д1а г1о,Иди
дахар муха ду?,Как жизнь?
Г1улкхаш муха ду?,Как дела
со дик к1ант вукх,Я хороший парень
Са балам бац,Меня не волнует
яъ,кушать
са бусалб ваш хьо нисс вукх,"брат мой мусульманин, ты прав"
Муха ду хьан г1улкхаш,Как твои дела?
Жоп х1унда ца ло ахь?,Че не отвечаешь
1амор юкх,Научусь
Мох баьлла,ветреный
Хаза хабар дац ахь дуьйцаш дерг,Не красиво разговариваешь
Хьо хила лаьа суна даиман,хочу быть вместе всегда
хьа дуьйцийл ю,Ты можешь говорить
Массарел тоьлла ву,Он лучше всех
хар мечкш 1ад бите,Оставьте этих инородок
Дала могшал лойла хьуна,Дай Аллах вам крепкого здоровья
Хаз даьлла сурт ду,фотка вышло хорошо
Муха ду хьан г1улкхаш,как дела?
со,я
Муха ву хьо сан ваша?,как ты брат мой
Х1у деш ву хьо?,что делаешь
Со сой ву ц1ен генахь,Я один в дали от дома
Хьо йовз аьтто хир бари?,Можно с вами познакомиться?
сих хьо га лаьа суна,хочу по-быстрее тебя увидеть
Со реза ю,Я согласна
"Мар волла йищ ю хьа со,хьайн луъч хен",Ты можешь меня обнять когда захочешь
Верилаш,смотрите
хьо х1ун деш ву,Что ты делаешь?
Хи,вода
Шийла,холодная
Шу красавчикаш дукх,вы вообще красавчики
Винчу денца декъал йойла,С днем рождения!
Винчу денца декъал войла,С днем рождения!
и,он
Йоккха ча,Великий медведь
"Нохчий бера карийна, цуьна да-нана лохаш г1о дайша, Аллах1 доьхьа","Нашёлся чеченский мальчик, во имя Аллаха помогите найти родителей"
Дала бекхам бойл хьун,Пусть Аллах тебя накажет
д1авала,отстань
дика ду,Хорошо
"Х1ар малик тенгахь карийна хьун, Дална бу хастам",где нашёл это чудо! слава Аллаху
Сагатло,Скучаю
Хаз ву ле вац хьажа г1ертш яц со,Не собираюсь смотреть красив он или нет
Хьо оьхаз мал яхитнарг вуьйра ву ас,"я убью всех,кто тебя обидел"
"баркалла, ша дерг дика ду","Спасибо, все хорошо"
ма уллер,как же близкий
Цхьа наггахь ч1ог1а дог эт1а до ахь са,иногда раздрожаешь ты меня
К1уз ха йохи х1о?,Ты приедешь сюда
г1улкхаш муха ду,как дела?
со ч1ог1а хаза хети хьун?,я тебе сильно нравлюсь
"дукха веза суна хьо, хьоменаг",люблю тебя родной
Сан х1усум нана,Моя жена
Доьзал буй хьан?,у тебя есть дети?
Ма хье йе,нетрогай
чуьрк е меги виж вуьтш ца хилч,можно ли убить комара если не дает спать
хьо нохчи йо1ах тера яц,ты не похожа на чеченку
Дик ду хьай наш муха ду,"хорошо, как твои?"
иза кхеташ яц,она не понимает
привет брат,ассаламу алайкум брат
дахар дац,нет жизни
"Де дика хуьлда хьа, телефон тоьхнере ахь?","приветствую вас, вы звонили"
сих хьо га лаьа суна,хочу тебя увидеть поскорее
Сун хьо ез догиш,я тебя люблю малышка
Г1уллакххаш муха ду?,как дела?
суна реза йолчо язъе соьг,пишите мне если вы согласны со мной пообщаться
Вай мух нах ду хаъ царн цундела ла ца ло цаърг вай барт болш,"они знают что мы за люди, поэтому они нам завидуют"
Тхуна хьо карор ву,Мы тебя найдем
Д1аг1о,иди
ахь хьай сурт ца гойту,Ты фото покажешь?
Дер ца гойт,"Нет, не покажу"
Покажу,гойт
мерза кампеташ,Вкусные конфеты
д1овш,яд
кланехь,в клане
дукха яхийла = долгих лет жизни,дук яхил
наьрс,огурец
гуш вац,не видно его
тенгахь 1аш ю хьо,где живешь
тенгахь 1аш ву хьо,где живешь
дик ду,хорошо
Мел дешна ахь,Сколько ты училась
Мел дешна ахь,Сколько ты учился
Меги,хорошо
"Суна хьо ч1ог1а дукха веза, Майрбек","Я очень люблю тебя, Майрбек"
йиша,сестра
Алхьамдулиллах1,Хвала Аллаху
Сурт,фотография
Суна хьан мотт ца хаъ,Я не знаю твой язык
эчиг,железный
оьрси,русский
ч1об = выпь,что за птица ч1об?
Эшац суна,мне это  не нужно
Окх нохчи чохь,В этой Чечне
сан дега доттаг1а,Мой сердечный друг
из бу Адми мот,Это человеческий язык
Суьйре дика хуьлда,Добрый вечер
биндолиг,божья коровка
"телефон тоха, сан са гат ло",позвони я скучаю
мац вог1ар ю хьо хьа?,Ты когда приедешь?
мац вог1ар ву хьо хьа?,Ты когда приедешь?
Яндырка,с. Яндаре эв.
Ялхой-Мохк,с. Ялхой-мохк эв.
с. Энгана эв. ,Энгеной
с. Энгельс-Юрт эв. ,Энгельс-Юрт
с. Элистанжа эв. ,Элистанжи
с. Эккажакъоьнг-Юрт эв. ,Экажево
Шуани,с. Шоьна эв.
ст. Шелкозаводски ст. ,Шелкозаводская
ст. Шелковски ст. ,Шелковская
р. Шара-Орга х. ,Шаро-Аргун
Шали,с. Шела эв.
с. Шалажа эв. ,Шалажи
Шаами-Юрт,с. Ша1мин-юрт эв.
с. Чечана эв. ,Чечен-Аул
ст. Орз-Г1ала ст. ,Червлѐнная
с. Чемалг1е эв. ,Чемульга
с. Ч1аьнтийн-Юрт эв. ,Чанты-Юрт
р. Ч1аьнтий-Орга хи ,Чанты-Аргун
с. Ц1оьнтара эв. ,Центарой
с. Ц1ен Ведана эв. ,Ца-Ведено
р. Хулхуло хи ,Хулхулау
Хаттуни,с. Хоттане эв.
с. Хьаьрсана эв. ,Харсеной
с. Хорача эв. ,Харачой
ущелье Ши Суьйран юкъ ,Ханкальское
гора Суьйра-Корта л. ,Ханкальская
с. Хьала-Кела эв. ,Хал-Килой
с. Ушкхаьлла эв. ,Ушкалой
с. Хьалха-Марта эв. ,Урус-Мартан
с. Улус-Керт ,Улус-Керт
Чергазийн раг1 ,Терский хребет
Терек,р. Терк хи.
Тезен-Кале,с. Теза-Кхаьлл эв.
Сурхахи,с. Сурхо-Хит1е эв.
Ташхойн раг1 ,Сунженский хребет
р. Соьлжа хи ,Сунжа
р. Г1ойсу хи ,Сулак
Суворов-Юрт,с. Суворов-Юрт эв.
ст. Старогладковски ст. ,Старогладковская
с. Соьлже эв. ,Старая Сунжа
с. Юккъера Ачалкхе эв. ,Средние Ачалуки
с. Сог1апше эв. ,Согопши
ст. Совельевски ст. ,Совельевская
курорт Серноводск курорт ,Серноводск
с. Сиржа-Эвл эв. ,Сержень-Юрт
с. Селман-Тевзана эв. ,Сельментаузен
Саясан,с. Сесана эв.
с. Сема1ашка эв. ,Самашки
Рошничу,с. Рошничу эв.
с. Доьлака эв. ,Пседах
с. Правобережни эв. ,Правобережное
с. Побединск эв. ,Побединск
с. Пхьилинкъоьнгийн-Юрт эв. ,Плиево
ст. Чурт-тог1и ст. ,Петропавловская
с. Пхьаьмта эв. ,Памятой
с. Цоцин-Эвл эв. ,Октябрьское
Ножай-Юрт,Нажин-Юрт эв.
с. Жима-Редант эв. ,Новый-Редант
с. Жима Атаг1а эв. ,Новые Атаги
ст. Новощедрински ст. ,Новощедринская
с. Гелдагана эв. ,Новая Жизнь
ст. Салтийн-Г1ала ст. ,Николаевская
с. Дебин-Юрт эв. ,Нижние Ачалуки
ст. Г1ажарийн-Юрт ст. ,Нестеровская
ст. Новр-г1ала ст. ,Наурская
Насыр-Корт,с. Несар-Корт эв.
г. Несара г1. ,Назрань
с. Лаха-Невре эв. ,Надтеречное
Мужичи,с. Мужиче эв.
с. Мескар-Эвл эв. ,Мескер-Юрт
с. Макане эв. ,Мекен-Юрт
с. Махкат1а эв. ,Махкеты
Мартанка,р. Марта хи.
Малка,р. Балкх хи.
г. Малхабек г1. ,Малгобек
ст. Макан-Г1ала ст. ,Макенская
с. Макажа эв. ,Макажой
Майртуп,с. Майртуп эв.
Лермонтов-Юрт,с. Лермонтов-Юрт эв.
с. Курчала эв. ,Курчалой
ст. Курдюковски ст. ,Курдюковская
Кулары,с. Г1уларе эв.
с. Краснооктябрьски эв. ,Краснооктябрьское
с. Кхошкелда эв. ,Кошкельды
с. Бердак1ел эв. ,Комсомольское
Коби,пос. Коби эв.
Киров-Юрт,с. Тевзана эв.
Кизляр,г. Г1излар г1.
с. Галне эв. ,Кень-Юрт
Кенхи,с. Кенха ив.
Г1ачалкхин раг1 ,Качкалыкский хребет
Катыр-Юрт,с. Котар-Юрт эв.
с. Т1ой-Юрт эв. ,Кантышево
с. Калиновски эв. ,Калиновское
оз. Кьоьзан 1ам 1. ,Казеной-Ам
Ищѐрски ст. ,Ищѐрская
Ишхой-Юрт,с. Ишхойн-Юрт эв.
Итумкале,с. Итон-Кхаьлла эв.
Истису,с. Мелчхе эв.
ст. Баса-Г1ала ст. ,Ильинская
Знаменка,с. Ч1ург-Юрт эв.
Зибир-Юрт,с. Зибир-Юрт эв.
с. Зандакъ эв. ,Зандак
Закан-Юрт,с. Закан-Юрт эв.
с. Дишни-Ведана эв. ,Дышни-Ведено
ст. Дубовски ст. ,Дубовская
с. Дубин-Эвл эв. ,Дуба-Юрт
Долаково,с. Долакха-Юрт эв.
р. Джалкх хи ,Джалка
с. Доча-Борзе эв. ,Дачу-Барзой
Теркан ч1аж ,Дарьяльское ущелье
с. Даьрг1а эв. ,Дарго
с. Давиденск эв. ,Давиденск
с. Гуьн эв. ,Гуной
Гуни,с. Гуьна эв.
г. Гуьмсе г1. ,Гудермес
р. Гумс хи ,Гудермес
с. Г1уш-Коьрте эв. ,Грушевое
ст. Гребенски ст. ,Гребенская
с. Г1оьрдала эв. ,Гордали
Горагорск,пос. Горагорск эв.
Гойты,с. Г1ойт1а эв.
гора Г1уьйта-Корта л. ,Гойткорт
р. Г1ой хи ,Гойтинка
с. Г1айси эв. ,Гойси
пос. Гикалов-Юрт эв. ,Гикаловский
Гехи,с. Гихт1а эв.
Герменчук,с. Гермачик эв.
с. Г1оьрдала эв. ,Гардали
Гамурзиево,с. Дошалкъин-Юрт эв.
ст. Гуьлгани ст. ,Галюгаевская
Галайты,с. Г1алайт1е эв.
с. Бамат-Юрт эв. ,Виноградное
с. Лакха-Невре эв. ,Верхний Наур
с. Ведана эв. ,Ведено
с. Вашиндара эв. ,Вашиндарой
с. Валаргт1е эв. ,Валерик
"с. Братски эв, Ног1а-мирзин-Юрт уст.",Братское
с. Борг1ане эв. ,Брагуны
ст. Бороздиновски ст. ,Бороздиновская
с. Борзе эв. ,Борзой
с. Йоккха Атаг1а эв. ,Большие Атаги
Беслан,"станция Беслан, Берсин-Юрт станци."
с. Бенойн-Ведана эв. ,Беной-Ведено
с. Бени-К1отар эв. ,Беной
с. Иласхан-Юрт эв. ,Белореченское
с. Б1ачин-Юрт эв. ,Бачи-Юрт
р. Бас хи ,Бас
с. Бурск1елхе эв. ,Барсуки
Бамут,с. Буммат эв.
р. Басха хи ,Басха
с. Байтаркхе эв. ,Байтарки
Ачхой-мартан,с. 1ашхойн-Марта эв.
с. Ачалкхе эв. ,Ачалуки
",.",Большие АтагиНовые Атаги
ст. Эха-Борзе ст. ,Ассиновская
р. 1асс хи ,Асса
Асланбек-Шерипово,с. Асланбек-Шерипово эв.
с. Аьршта эв. ,Аршты
Аргун,р. Орга хи.
с. 1алхан-Юрт эв. ,Алхан-юрт
Шинарег1ан юкъ ,Алханчуртская долина
с. 1алхан-Г1ала эв. ,Алхан-Кала
Алхазурово,с. Олхазар-К1отар эв.
с. Эг1ашбета эв. ,Агишбатой
с. Эвтара эв. ,Автуры
г. Яунде г1. ,Яунде
г. Ярославль г1. ,Ярославль
Японера х1орд ,Японское море
Японии г1айренаш ,Японские острова
Япони ,Япония
р. Янцзы хи ,Янцзы
Ямал-Ненцойн автономни округ ,Ямало-Ненецкий автономный округ
Ямал,п-ов Ямал ахг1-е.
Ямайка,"о-в, гос-во Ямайка г1-е, п-кх."
Ялта,"г, Ялта г1."
Якутск,г. Якутск г1.
Якутийн Автономни Советски Социалистически Республика ,Якутия Якутская Автономная Советская Социалистическая Республика
Ява,о-в Ява г1-е.
п-ов Ютланди ахг1-е ,Ютландия
Юкон,"нагорье, р, территория Юкон лам-акъари, хи, мохк."
Юкатан,п-ов Юкатан ахг1-е.
Къилба-Китайн х1орд ,Южно-Китайское море
Къилбера Родзи ,Южная Родезия
Къилбера Х1ирийчоь ,Южная Осетия
Къилбера Америка ,Южная Америка
Социалистически Федеративни Республика Югослави ,СФРЮ
Югослави,Югославия Социалистическая Федеративная Республика Югославия
Къилба-Х1ирийн автономни область ,Юго-Осетинская Автономная область
Эфиопи,Эфиопия
вулкан. Этна 1еттабен лам ,Этна
Эр-Рияд,г. Эр-Рияд г1.
оз. Эльтон 1. ,Эльтон
г. Эль-Кувейт г1. ,Эль-Кувейт
гора Эльбрус м. ,Эльбрус
Эльба,"р, о-в Эльба хи, г1-е."
г. Элиста г1. ,Элиста
ЭквадорЭкуадор,", Экуадор."
г. Эдинбург г1. ,Эдинбург
Эгейн х1орд ,Эгейское море
г. Штутгарт г1. ,Штутгарт
Шри Ланка,"о-в, гос-во Шри Ланка г1-е, п-кх."
Шпицберген,о-в Шпицберген г1-е.
Шотланди ,Шотландия
Швеци ,Швеция
Швейцари ,Швейцария
г. Шанхай г1. ,Шанхай
Чукотийн х1орд ,Чукотское море
Чукоткера ахг1айре ,Чукотский полуостров
Чукотийн автономни округ ,Чукотский автономный округ
Чукотка ,Чукотка
Чудски 1ам ,Чудское озеро
Чили ,Чили
г. Чикаго г1. ,Чикаго
1аьржа х1орд ,Чѐрное море
Чергазийчоь ,Черкессия
г. Челябинск г1. ,Челябинск
г. Чебоксара г1. ,Чебоксары
Чад,"оз, гос-во Чад 1, п-кх."
Цюрих,г. Цюрих г1.
г. Цхинвали г1. ,Цхинвали
Цусима,о-ва Цусима г1-наш.
Юккъерчу Африкин Республика ,Центрально-Африканская Республика ЦАР
Юккъера Америка ,Центральная Америка
Целиноград,г. Целиноград г1.
Бай-латтанийн мехкайист ,Целинный край
Хуанхэ,р. Хуанхэ хи.
г. Хошимин г1. ,Хошимин
г. Хорог г1. ,Хорог
о-в Хонсю г1-е ,Хонсю
о-в Хоккайдо г1-е ,Хоккайдо
г. Хиросима г1. ,Хиросима
горы Хибинаш л-наш ,Хибины
г. Харьков г1. ,Харьков
г. Хартум г1. ,Хартум
Ханты-Мансийн автономни округ ,Ханты-Мансийский автономный округ
г. Ханты-Мансийск г1. ,Ханты-Мансийск
пик Хан-Тенгри бухь ,Хан Тенгри
г. Ханой г1. ,Ханой
Хабаровскера мехкайист ,Хабаровский край
г. Хабаровск г1. ,Хабаровск
вулкан Фудзияма 1еттабен лам ,Фудзияма
г. Фрунзе г1. ,Фрунзе
г. Фритаун г1. ,Фритаун
Франци ,Франция
г. Одер-т1ера-Франкфурт г1. ,Франкфурт-на-Одере
г. Майн-т1ера-Франкфурт г1. ,Франкфурт-на-Майне
г. Форт-Лами г1. ,Форт-Лами
Флорида,пов Флорида ахг1-е.
г. Флоренци г1. ,Флоренция
Финлянди ,Финляндия
"о-ва, гос-во Филиппинам г1-наш, п-кх.",Филиппины
г. Филадельфи г1. ,Филадельфия
Фиджи,"о-ва, гос-во Фиджи г1-наш, п-кх."
г. Фергана г1. ,Фергана
Германин Федеративни Республика ,Федеративная Республика Германии ФРГ
г. Уэллингтон г1. ,Уэллингтон
"г, р. Уфа г1, хи.",Уфа
Усть-Ордынан Бурятийн автономни округ ,Усть-Ордынский Бурятский автономный округ
р. Уссури хи ,Уссури
Уругвай ,Уругвай
Урал,"горы, р. Урал л-наш, хи."
г. Ульяновск г1. ,Ульяновск
г. Улан-Удэ г1. ,Улан-Удэ
г. Улан-Батор г1. ,Улан-Батор
Уганда ,Уганда
Тянь-Шань,горы Тянь-Шань л-наш.
Турци ,Турция
Тура,пос. Тура эв.
"гос-во, г. Тунис п-кх, г1.",Тунис
г. Тула г1. ,Тула
Туз,оз. Туз 1.
г. Триполи г1. ,Триполи
Тринидад и Тобаго,"Тринидадий, Тобагой."
г. Триест г1. ,Триест
г. Торонто г1. ,Торонто
г. Томск г1. ,Томск
г. Токио г1. ,Токио
Того ,Того
Тийна океан ,Тихий океан
р. Тиса хи ,Тиса
Тирренера х1орд ,Тирренское море
Тирана,г. Тирана г1.
р. Тигр хи ,Тигр
р. Тибр хи ,Тибр
нагорье Тибет лам-акъари ,Тибет
р. Темза хи ,Темза
Тель-Авив,г. Тель-Авив г1.
г. Тегеран г1. ,Тегеран
г. Тбилиси г1. ,Тбилиси
г. Ташкент г1. ,Ташкент
р. Тахо хи ,Тахо
горы Татраш л-наш ,Татры
Г1езалойн хидоькъе ,Татарский пролив
Тасманан х1орд ,Тасманово море
о-в Тасмани г1-е ,Тасмания
Тарту,г. Тарту г1.
Тар,пуст. Тар г1ам.
Танзани ,Танзания
оз. Танганьика 1. ,Танганьика
г. Таллин г1. ,Таллин
пуст. Такла-Макан г1ам. ,Такла-Макан
Таймыран автономни округ ,Таймырский автономный округ
Таймыр,п-ов Таймыр ахг1-е.
о-в Тайвань г1-ре ,Тайвань
Тайванан хидоькъе ,Тайванский пролив
Таити,о-в Таити г1-е.
Таиланд ,Таиланд
Тавр,горы Тавр л-наш.
Сьерра-Леоне ,Сьерра-Леоне
р. Сыр-Дарья хи ,Сырдарья
Сыктывкар,г. Сыктывкар г1.
Суэцан канал ,Суэцкий канал
Сухуми,г. Сухуми г1.
Суматра,о-в Суматра г1-е.
Сулавеси,о-в Сулавеси г1-е.
г. Сукре г1. ,Сукре
Сува,г. Сува г1.
г. Стокгольм г1. ,Стокгольм
г. Степанакерт г1. ,Степанакерт
Ставрополан мехкайист ,Ставропольский край
г. Ставрополь г1. ,Ставрополь
Юккъера Ази ,Средняя Азия
Средний Восток,Юккъера Малхбале.
Лаьттаюккъера х1орд ,Средиземное море
Советски Социалистически Республикийн Союз ,Союз Советских Социалистических Республик СССР
Сочи,г. Сочи г1.
София,г. Софи г1.
Сомали ,Сомали
г. Солсбери г1. ,Солсбери
Соломонан г1айренаш ,Соломоновы острова
Соловецера г1айренаш ,Соловецкие острова
Америкин Цхьаьнакхетта Штаташ ,Соединѐнные Штаты Америки США
Советски Союз ,Советский Союз
г. Смоленск г1. ,Смоленск
Скандинавин ахг1айре ,Скандинавский полуостров
Скандинави ,Скандинавия
Скагеррак,пр-в Скагеррак хи-е.
Сицилия,о-в Сицили г1-е.
Сихотэ-Алинь,горы Сихотэ-Алинь л-наш.
"о-в, гос-во, г. Сингапур г 1-е, п-кх, г1.",Сингапур
Синайн ахг1айре ,Синайский полуостров
г. Симферополь г1. ,Симферополь
г. Сидней г1. ,Сидней
г. Сеул г1. ,Сеул
Сенегал,"р, гос-во Сенегал хи, п-кх."
р. Сена хи ,Сена
Къилбаседера хидоькъе ,Северный пролив
Къилбаседерчу полюсан го ,Северный полярный круг
Къилбаседера полюс ,Северный полюс
Къилбаседера Шен океан ,Северный Ледовитый океан
архипелаг Къилбаседера Латта архипелаг ,Северная Земля
р. Къилбаседера Двина хи ,Северная Двина
Къилбаседера Америка ,Северная Америка
г. Севастополь г1. ,Севастополь
Севан,оз. Севан 1.
Елена-шайхан г1айре ,Святой Елены остров
г. Свердловск г1. ,Свердловск
Свазиленд,Свазиленд.
Саяны,горы Саянаш л-наш.
Сахара,пуст. Сахара г1ам.
Сахалин,о-в Сахалин г1-е.
Саудийн Арави ,Саудовская Аравия
о-в Сардини г1-е ,Сардиния
Саргасово море,Саргас-х1орд.
г. Саранск г1. ,Саранск
г. Саппоро г1. ,Саппоро
г. Сан-Хуан г1. ,Сан-Хуан
Сан-Хосе,г. Сан-Хосе г1.
г. Сантьяго г1. ,Сантьяго
г. Сан-Сальвадор г1. ,Сан-Сальвадор
г. Сан-Паулу г1. ,Сан-Паулу
"гос-во, г. Сан-Марино п-кх, г1.",Сан-Марино
Сана,г. Сана г1.
Самоа,о-ва Самоа г1-наш.
г. Самарканд г1. ,Самарканд
Сальвадор ,Сальвадор
г. Салехард г1. ,Салехард
г. Сайгон г1. ,Сайгон
Руанда ,Руанда
Ростов-на-Дону,г. Дон-т1ера-Ростов г1.
Росси ,Россия
Российски Советски Федеративни социалистически Республика ,Российская Советская Федеративная Социалистическая республика РСФСР
Россан х1орд ,Росса море
Рона,р. Рона хи.
о-в Родос г1-е ,Родос
г. Рим г1. ,Рим
Ригера айма ,Рижский залив
г. Рига г1. ,Рига
р. Рейн хи ,Рейн
г. Рейкьявик г1. ,Рейкьявик
"оз, г. Резайе 1, г1.",Резайе
г. Рангун г1. ,Рангун
г. Рабат г1. ,Рабат
г. Пятигорск г1. ,Пятигорск
г. Пхеньян г1. ,Пхеньян
"о-в, гос-во Пуэрто-Рико г1-е, п-кх.",Пуэрто-Рико
г. Пулково г1. ,Пулково
г. Псков г1. ,Псков
р. Прут хи ,Прут
Приморера мехкайист ,Приморский край
Балтикайист ,Прибалтика
Претория,г. Претори г1.
г. Прага г1. ,Прага
Португали ,Португалия
г. Порт-о-Пренс г1. ,Порт-о-Пренс
г. Порто-Ново г1. ,Порто-Ново
г. Порт-Луи г1. ,Порт-Луи
Полтава,г. Полтава г!
о-ва Полинези г1-наш ,Полинезия
Ийдалт1ие ,Поволжье
р. По хи ,По
г. Пномпень г1. ,Пномпень
г. Плоешти г1. ,Плоешти
Пловдив,г. Пловдив г1.
Пиренейн ахг1айре ,Пиренейский полуостров
Пиренеи,горы Пиренейш л-наш.
р. Печора хи ,Печора
г. Петропавловск-Камчатски г1. ,Петропавловск-Камчатский
г. Петрозаводск г1. ,Петрозаводск
Перу ,Перу
Персин айма ,Персидский залив
п-ов Пелопоннес ахг1-е ,Пелопоннес
г. Пекин г1. ,Пекин
Париж,г. Париж г1.
Парана,"р, г. Парана хи, г1."
Парагвай,"гос-во, р. Парагвай п-кх, хи."
Панамера канал ,Панамский канал
Памир,горы Памир л-наш.
Палестина,Палестина.
Палана,г. Палана г1.
Пакистан,Пакистан.
Па-де-Кале,пр-в Па-де-Кале хи-е.
Охотски х1орд ,Охотское море
"г, р. Оттава г1, хи.",Оттава
г. Осло г1. ,Осло
Осака,г. Осака г1.
р. Ориноко хи ,Ориноко
р. Оранжеви хи ,Оранжевая
"р, г. Онега хи, г1.",Онега
г. Омск г1. ,Омск
Оман ,Оман
о-ва Океани г1-наш ,Океания
р. Ока хи ,Ока
Одра,р. Одра хи.
г. Одесса г1. ,Одесса
о-в Ц1еран Латта г1-е ,Огненная Земля
Огайо,р. Огайо хи.
р. Обь хи ,Обь
1арбийн Цхьаьнакхетта Эмираташ ,Объединѐнные Арабские Эмираты
